txn_date,narration,utr,credit_amount,running_balance
2026-08-21,CMS/RAZORPAY SETTLEMENT/UTR9026STD0001/MDR2PCT,UTR9026STD0001,11414.09,2511414.09
2026-08-21,CMS/RAZORPAY SETTLEMENT/UTR9026STD0002/MDR2PCT,UTR9026STD0002,4672.67,2516086.76
2026-08-21,CMS/RAZORPAY SETTLEMENT/UTR9026STD0003/MDR2PCT,UTR9026STD0003,12050.97,2528137.73
2026-08-21,CMS/RAZORPAY SETTLEMENT/UTR9026STD0004/MDR2PCT,UTR9026STD0004,1031.28,2529169.01
2026-08-21,CMS/RAZORPAY SETTLEMENT/UTR9026STD0005/MDR2PCT,UTR9026STD0005,9123.21,2538292.22
2026-08-22,CMS/RAZORPAY SETTLEMENT/UTR9026STD0006/MDR2PCT,UTR9026STD0006,12722.82,2551015.04
2026-08-21,CMS/RAZORPAY SETTLEMENT/UTR9026STD0007/MDR2PCT,UTR9026STD0007,4254.87,2555269.91
2026-08-22,CMS/RAZORPAY SETTLEMENT/UTR9026STD0008/MDR2PCT,UTR9026STD0008,13453.95,2568723.86
2026-08-22,CMS/RAZORPAY SETTLEMENT/UTR9026STD0009/MDR2PCT,UTR9026STD0009,6302.05,2575025.91
2026-08-22,CMS/RAZORPAY SETTLEMENT/UTR9026STD0010/MDR2PCT,UTR9026STD0010,2234.67,2577260.58
2026-08-22,CMS/RAZORPAY SETTLEMENT/UTR9026STD0011/MDR2PCT,UTR9026STD0011,14969.34,2592229.92
2026-08-22,CMS/RAZORPAY SETTLEMENT/UTR9026STD0012/MDR2PCT,UTR9026STD0012,12957.13,2605187.05
2026-08-22,CMS/RAZORPAY SETTLEMENT/UTR9026STD0013/MDR2PCT,UTR9026STD0013,1834.66,2607021.71
2026-08-22,CMS/RAZORPAY SETTLEMENT/UTR9026STD0014/MDR2PCT,UTR9026STD0014,10353.42,2617375.13
2026-08-22,CMS/RAZORPAY SETTLEMENT/UTR9026STD0015/MDR2PCT,UTR9026STD0015,11787.21,2629162.34
2026-08-22,CMS/RAZORPAY SETTLEMENT/UTR9026STD0016/MDR2PCT,UTR9026STD0016,15103.02,2644265.36
2026-08-22,CMS/RAZORPAY SETTLEMENT/UTR9026STD0017/MDR2PCT,UTR9026STD0017,8235.63,2652500.99
2026-08-22,CMS/RAZORPAY SETTLEMENT/UTR9026STD0018/MDR2PCT,UTR9026STD0018,6558.72,2659059.71
2026-08-23,CMS/RAZORPAY SETTLEMENT/UTR9026STD0019/MDR2PCT,UTR9026STD0019,10896.41,2669956.12
2026-08-23,CMS/RAZORPAY SETTLEMENT/UTR9026STD0020/MDR2PCT,UTR9026STD0020,3280.26,2673236.38
2026-08-23,CMS/RAZORPAY SETTLEMENT/UTR9026STD0021/MDR2PCT,UTR9026STD0021,4240.76,2677477.14
2026-08-23,CMS/RAZORPAY SETTLEMENT/UTR9026STD0022/MDR2PCT,UTR9026STD0022,4401.94,2681879.08
2026-08-23,CMS/RAZORPAY SETTLEMENT/UTR9026STD0023/MDR2PCT,UTR9026STD0023,7342.9,2689221.98
2026-08-23,CMS/RAZORPAY SETTLEMENT/UTR9026STD0024/MDR2PCT,UTR9026STD0024,4121.34,2693343.32
2026-08-23,CMS/RAZORPAY SETTLEMENT/UTR9026STD0025/MDR2PCT,UTR9026STD0025,2929.44,2696272.76
2026-08-23,CMS/RAZORPAY SETTLEMENT/UTR9026STD0026/MDR2PCT,UTR9026STD0026,9697.7,2705970.46
2026-08-23,CMS/RAZORPAY SETTLEMENT/UTR9026STD0027/MDR2PCT,UTR9026STD0027,15829.3,2721799.76
2026-08-24,CMS/RAZORPAY SETTLEMENT/UTR9026STD0028/MDR2PCT,UTR9026STD0028,17529.51,2739329.27
2026-08-23,CMS/RAZORPAY SETTLEMENT/UTR9026STD0029/MDR2PCT,UTR9026STD0029,2041.56,2741370.83
2026-08-24,CMS/RAZORPAY SETTLEMENT/UTR9026STD0030/MDR2PCT,UTR9026STD0030,11209.37,2752580.2
2026-08-24,CMS/RAZORPAY SETTLEMENT/UTR9026STD0031/MDR2PCT,UTR9026STD0031,10679.05,2763259.25
2026-08-23,CMS/RAZORPAY SETTLEMENT/UTR9026STD0032/MDR2PCT,UTR9026STD0032,9529.18,2772788.43
2026-08-24,CMS/RAZORPAY SETTLEMENT/UTR9026STD0033/MDR2PCT,UTR9026STD0033,12136.58,2784925.01
2026-08-24,CMS/RAZORPAY SETTLEMENT/UTR9026STD0034/MDR2PCT,UTR9026STD0034,13621.25,2798546.26
2026-08-24,CMS/RAZORPAY SETTLEMENT/UTR9026STD0035/MDR2PCT,UTR9026STD0035,7917.03,2806463.29
2026-08-24,CMS/RAZORPAY SETTLEMENT/UTR9026STD0036/MDR2PCT,UTR9026STD0036,17094.85,2823558.14
2026-08-24,CMS/RAZORPAY SETTLEMENT/UTR9026STD0037/MDR2PCT,UTR9026STD0037,16082.27,2839640.41
2026-08-24,CMS/RAZORPAY SETTLEMENT/UTR9026STD0038/MDR2PCT,UTR9026STD0038,10893.67,2850534.08
2026-08-24,CMS/RAZORPAY SETTLEMENT/UTR9026STD0039/MDR2PCT,UTR9026STD0039,9704.57,2860238.65
2026-08-24,CMS/RAZORPAY SETTLEMENT/UTR9026STD0040/MDR2PCT,UTR9026STD0040,10722.37,2870961.02
2026-08-24,CMS/RAZORPAY SETTLEMENT/UTR9026STD0041/MDR2PCT,UTR9026STD0041,16363.72,2887324.74
2026-08-24,CMS/RAZORPAY SETTLEMENT/UTR9026STD0042/MDR2PCT,UTR9026STD0042,4603.96,2891928.7
2026-08-25,CMS/RAZORPAY SETTLEMENT/UTR9026STD0043/MDR2PCT,UTR9026STD0043,12994.3,2904923.0
2026-08-25,CMS/RAZORPAY SETTLEMENT/UTR9026STD0044/MDR2PCT,UTR9026STD0044,13574.01,2918497.01
2026-08-25,CMS/RAZORPAY SETTLEMENT/UTR9026STD0045/MDR2PCT,UTR9026STD0045,16667.0,2935164.01
2026-08-25,CMS/RAZORPAY SETTLEMENT/UTR9026STD0046/MDR2PCT,UTR9026STD0046,15395.47,2950559.48
2026-08-25,CMS/RAZORPAY SETTLEMENT/UTR9026STD0047/MDR2PCT,UTR9026STD0047,13393.42,2963952.9
2026-08-25,CMS/RAZORPAY SETTLEMENT/UTR9026STD0048/MDR2PCT,UTR9026STD0048,7305.78,2971258.68
2026-08-25,CMS/RAZORPAY SETTLEMENT/UTR9026STD0049/MDR2PCT,UTR9026STD0049,7974.01,2979232.69
2026-08-25,CMS/RAZORPAY SETTLEMENT/UTR9026STD0050/MDR2PCT,UTR9026STD0050,4724.16,2983956.85
