payment_id,order_id,gross_amount,fee,tax,net_settled,utr,settlement_date
pay_std_0001,ORD_STD_0001,11689.97,233.8,42.08,11414.09,UTR9026STD0001,2026-08-21 11:01:00
pay_std_0002,ORD_STD_0002,4785.61,95.71,17.23,4672.67,UTR9026STD0002,2026-08-21 13:08:00
pay_std_0003,ORD_STD_0003,12342.24,246.84,44.43,12050.97,UTR9026STD0003,2026-08-21 05:34:00
pay_std_0004,ORD_STD_0004,1056.2,21.12,3.8,1031.28,UTR9026STD0004,2026-08-21 09:05:00
pay_std_0005,ORD_STD_0005,9343.72,186.87,33.64,9123.21,UTR9026STD0005,2026-08-21 16:01:00
pay_std_0006,ORD_STD_0006,13030.34,260.61,46.91,12722.82,UTR9026STD0006,2026-08-21 18:44:00
pay_std_0007,ORD_STD_0007,4357.71,87.15,15.69,4254.87,UTR9026STD0007,2026-08-21 16:37:00
pay_std_0008,ORD_STD_0008,13779.13,275.58,49.6,13453.95,UTR9026STD0008,2026-08-22 01:10:00
pay_std_0009,ORD_STD_0009,6454.38,129.09,23.24,6302.05,UTR9026STD0009,2026-08-21 19:09:00
pay_std_0010,ORD_STD_0010,2288.68,45.77,8.24,2234.67,UTR9026STD0010,2026-08-21 19:24:00
pay_std_0011,ORD_STD_0011,15331.15,306.62,55.19,14969.34,UTR9026STD0011,2026-08-22 00:38:00
pay_std_0012,ORD_STD_0012,13270.31,265.41,47.77,12957.13,UTR9026STD0012,2026-08-21 23:34:00
pay_std_0013,ORD_STD_0013,1879.0,37.58,6.76,1834.66,UTR9026STD0013,2026-08-22 10:18:00
pay_std_0014,ORD_STD_0014,10603.66,212.07,38.17,10353.42,UTR9026STD0014,2026-08-22 03:45:00
pay_std_0015,ORD_STD_0015,12072.11,241.44,43.46,11787.21,UTR9026STD0015,2026-08-22 08:49:00
pay_std_0016,ORD_STD_0016,15468.06,309.36,55.68,15103.02,UTR9026STD0016,2026-08-22 12:06:00
pay_std_0017,ORD_STD_0017,8434.68,168.69,30.36,8235.63,UTR9026STD0017,2026-08-22 10:23:00
