transaction_id,reconciliation_id,order_id,payment_id,utr,order_amount,gross_amount,fee,tax,net_settled,bank_credit_amount,variance,matching_result,status,tier,match_method,exception_type,confidence_score,reasoning,root_cause_reasoning,evidence_used,financial_impact,action_required,action_status,timestamp,metadata
REC_T1_pay_std_0001,REC_T1_pay_std_0001,ORD_STD_0001,pay_std_0001,UTR9026STD0001,11689.97,11689.97,233.8,42.08,11414.09,11414.09,0.0,Reconciled,RECONCILED_STANDARD,TIER_1_DETERMINISTIC,Rule-Based,,1.0,"3-Way Match Verified (1:1:1). Standard Razorpay MDR formula applied: 2.00% fee (₹233.80) + 18% GST (₹42.08) = net ₹11414.09, matching bank credit UTR UTR9026STD0001 exactly.","3-Way Match Verified (1:1:1). Standard Razorpay MDR formula applied: 2.00% fee (₹233.80) + 18% GST (₹42.08) = net ₹11414.09, matching bank credit UTR UTR9026STD0001 exactly.","['ERP amount', 'Gateway settlement', 'Bank credit', 'UTR', 'Fee calculation']",Zero Variance (Balanced),,Resolved,2026-09-03T18:53:57.821544+00:00,"{'mdr_rate_pct': 2.0, 'gst_rate_pct': 18.0, 'order_time': '2026-08-20 12:01:00', 'settlement_date': '2026-08-21 11:01:00', 'bank_txn_date': '2026-08-21'}"
REC_T1_pay_std_0002,REC_T1_pay_std_0002,ORD_STD_0002,pay_std_0002,UTR9026STD0002,4785.61,4785.61,95.71,17.23,4672.67,4672.67,0.0,Reconciled,RECONCILED_STANDARD,TIER_1_DETERMINISTIC,Rule-Based,,1.0,"3-Way Match Verified (1:1:1). Standard Razorpay MDR formula applied: 2.00% fee (₹95.71) + 18% GST (₹17.23) = net ₹4672.67, matching bank credit UTR UTR9026STD0002 exactly.","3-Way Match Verified (1:1:1). Standard Razorpay MDR formula applied: 2.00% fee (₹95.71) + 18% GST (₹17.23) = net ₹4672.67, matching bank credit UTR UTR9026STD0002 exactly.","['ERP amount', 'Gateway settlement', 'Bank credit', 'UTR', 'Fee calculation']",Zero Variance (Balanced),,Resolved,2026-09-03T18:53:57.821544+00:00,"{'mdr_rate_pct': 2.0, 'gst_rate_pct': 18.0, 'order_time': '2026-08-20 14:08:00', 'settlement_date': '2026-08-21 13:08:00', 'bank_txn_date': '2026-08-21'}"
REC_T1_pay_std_0003,REC_T1_pay_std_0003,ORD_STD_0003,pay_std_0003,UTR9026STD0003,12342.24,12342.24,246.84,44.43,12050.97,12050.97,0.0,Reconciled,RECONCILED_STANDARD,TIER_1_DETERMINISTIC,Rule-Based,,1.0,"3-Way Match Verified (1:1:1). Standard Razorpay MDR formula applied: 2.00% fee (₹246.84) + 18% GST (₹44.43) = net ₹12050.97, matching bank credit UTR UTR9026STD0003 exactly.","3-Way Match Verified (1:1:1). Standard Razorpay MDR formula applied: 2.00% fee (₹246.84) + 18% GST (₹44.43) = net ₹12050.97, matching bank credit UTR UTR9026STD0003 exactly.","['ERP amount', 'Gateway settlement', 'Bank credit', 'UTR', 'Fee calculation']",Zero Variance (Balanced),,Resolved,2026-09-03T18:53:57.821544+00:00,"{'mdr_rate_pct': 2.0, 'gst_rate_pct': 18.0, 'order_time': '2026-08-20 16:34:00', 'settlement_date': '2026-08-21 05:34:00', 'bank_txn_date': '2026-08-21'}"
REC_T1_pay_std_0004,REC_T1_pay_std_0004,ORD_STD_0004,pay_std_0004,UTR9026STD0004,1056.2,1056.2,21.12,3.8,1031.28,1031.28,0.0,Reconciled,RECONCILED_STANDARD,TIER_1_DETERMINISTIC,Rule-Based,,1.0,"3-Way Match Verified (1:1:1). Standard Razorpay MDR formula applied: 2.00% fee (₹21.12) + 18% GST (₹3.80) = net ₹1031.28, matching bank credit UTR UTR9026STD0004 exactly.","3-Way Match Verified (1:1:1). Standard Razorpay MDR formula applied: 2.00% fee (₹21.12) + 18% GST (₹3.80) = net ₹1031.28, matching bank credit UTR UTR9026STD0004 exactly.","['ERP amount', 'Gateway settlement', 'Bank credit', 'UTR', 'Fee calculation']",Zero Variance (Balanced),,Resolved,2026-09-03T18:53:57.821544+00:00,"{'mdr_rate_pct': 2.0, 'gst_rate_pct': 18.0, 'order_time': '2026-08-20 18:05:00', 'settlement_date': '2026-08-21 09:05:00', 'bank_txn_date': '2026-08-21'}"
REC_T1_pay_std_0005,REC_T1_pay_std_0005,ORD_STD_0005,pay_std_0005,UTR9026STD0005,9343.72,9343.72,186.87,33.64,9123.21,9123.21,0.0,Reconciled,RECONCILED_STANDARD,TIER_1_DETERMINISTIC,Rule-Based,,1.0,"3-Way Match Verified (1:1:1). Standard Razorpay MDR formula applied: 2.00% fee (₹186.87) + 18% GST (₹33.64) = net ₹9123.21, matching bank credit UTR UTR9026STD0005 exactly.","3-Way Match Verified (1:1:1). Standard Razorpay MDR formula applied: 2.00% fee (₹186.87) + 18% GST (₹33.64) = net ₹9123.21, matching bank credit UTR UTR9026STD0005 exactly.","['ERP amount', 'Gateway settlement', 'Bank credit', 'UTR', 'Fee calculation']",Zero Variance (Balanced),,Resolved,2026-09-03T18:53:57.821544+00:00,"{'mdr_rate_pct': 2.0, 'gst_rate_pct': 18.0, 'order_time': '2026-08-20 20:01:00', 'settlement_date': '2026-08-21 16:01:00', 'bank_txn_date': '2026-08-21'}"
REC_T1_pay_std_0006,REC_T1_pay_std_0006,ORD_STD_0006,pay_std_0006,UTR9026STD0006,13030.34,13030.34,260.61,46.91,12722.82,12722.82,0.0,Reconciled,RECONCILED_STANDARD,TIER_1_DETERMINISTIC,Rule-Based,,1.0,"3-Way Match Verified (1:1:1). Standard Razorpay MDR formula applied: 2.00% fee (₹260.61) + 18% GST (₹46.91) = net ₹12722.82, matching bank credit UTR UTR9026STD0006 exactly.","3-Way Match Verified (1:1:1). Standard Razorpay MDR formula applied: 2.00% fee (₹260.61) + 18% GST (₹46.91) = net ₹12722.82, matching bank credit UTR UTR9026STD0006 exactly.","['ERP amount', 'Gateway settlement', 'Bank credit', 'UTR', 'Fee calculation']",Zero Variance (Balanced),,Resolved,2026-09-03T18:53:57.821544+00:00,"{'mdr_rate_pct': 2.0, 'gst_rate_pct': 18.0, 'order_time': '2026-08-20 22:44:00', 'settlement_date': '2026-08-21 18:44:00', 'bank_txn_date': '2026-08-22'}"
REC_T1_pay_std_0007,REC_T1_pay_std_0007,ORD_STD_0007,pay_std_0007,UTR9026STD0007,4357.71,4357.71,87.15,15.69,4254.87,4254.87,0.0,Reconciled,RECONCILED_STANDARD,TIER_1_DETERMINISTIC,Rule-Based,,1.0,"3-Way Match Verified (1:1:1). Standard Razorpay MDR formula applied: 2.00% fee (₹87.15) + 18% GST (₹15.69) = net ₹4254.87, matching bank credit UTR UTR9026STD0007 exactly.","3-Way Match Verified (1:1:1). Standard Razorpay MDR formula applied: 2.00% fee (₹87.15) + 18% GST (₹15.69) = net ₹4254.87, matching bank credit UTR UTR9026STD0007 exactly.","['ERP amount', 'Gateway settlement', 'Bank credit', 'UTR', 'Fee calculation']",Zero Variance (Balanced),,Resolved,2026-09-03T18:53:57.821544+00:00,"{'mdr_rate_pct': 2.0, 'gst_rate_pct': 18.0, 'order_time': '2026-08-21 00:37:00', 'settlement_date': '2026-08-21 16:37:00', 'bank_txn_date': '2026-08-21'}"
REC_T1_pay_std_0008,REC_T1_pay_std_0008,ORD_STD_0008,pay_std_0008,UTR9026STD0008,13779.13,13779.13,275.58,49.6,13453.95,13453.95,0.0,Reconciled,RECONCILED_STANDARD,TIER_1_DETERMINISTIC,Rule-Based,,1.0,"3-Way Match Verified (1:1:1). Standard Razorpay MDR formula applied: 2.00% fee (₹275.58) + 18% GST (₹49.60) = net ₹13453.95, matching bank credit UTR UTR9026STD0008 exactly.","3-Way Match Verified (1:1:1). Standard Razorpay MDR formula applied: 2.00% fee (₹275.58) + 18% GST (₹49.60) = net ₹13453.95, matching bank credit UTR UTR9026STD0008 exactly.","['ERP amount', 'Gateway settlement', 'Bank credit', 'UTR', 'Fee calculation']",Zero Variance (Balanced),,Resolved,2026-09-03T18:53:57.821544+00:00,"{'mdr_rate_pct': 2.0, 'gst_rate_pct': 18.0, 'order_time': '2026-08-21 02:10:00', 'settlement_date': '2026-08-22 01:10:00', 'bank_txn_date': '2026-08-22'}"
REC_T1_pay_std_0009,REC_T1_pay_std_0009,ORD_STD_0009,pay_std_0009,UTR9026STD0009,6454.38,6454.38,129.09,23.24,6302.05,6302.05,0.0,Reconciled,RECONCILED_STANDARD,TIER_1_DETERMINISTIC,Rule-Based,,1.0,"3-Way Match Verified (1:1:1). Standard Razorpay MDR formula applied: 2.00% fee (₹129.09) + 18% GST (₹23.24) = net ₹6302.05, matching bank credit UTR UTR9026STD0009 exactly.","3-Way Match Verified (1:1:1). Standard Razorpay MDR formula applied: 2.00% fee (₹129.09) + 18% GST (₹23.24) = net ₹6302.05, matching bank credit UTR UTR9026STD0009 exactly.","['ERP amount', 'Gateway settlement', 'Bank credit', 'UTR', 'Fee calculation']",Zero Variance (Balanced),,Resolved,2026-09-03T18:53:57.821544+00:00,"{'mdr_rate_pct': 2.0, 'gst_rate_pct': 18.0, 'order_time': '2026-08-21 04:09:00', 'settlement_date': '2026-08-21 19:09:00', 'bank_txn_date': '2026-08-22'}"
REC_T1_pay_std_0010,REC_T1_pay_std_0010,ORD_STD_0010,pay_std_0010,UTR9026STD0010,2288.68,2288.68,45.77,8.24,2234.67,2234.67,0.0,Reconciled,RECONCILED_STANDARD,TIER_1_DETERMINISTIC,Rule-Based,,1.0,"3-Way Match Verified (1:1:1). Standard Razorpay MDR formula applied: 2.00% fee (₹45.77) + 18% GST (₹8.24) = net ₹2234.67, matching bank credit UTR UTR9026STD0010 exactly.","3-Way Match Verified (1:1:1). Standard Razorpay MDR formula applied: 2.00% fee (₹45.77) + 18% GST (₹8.24) = net ₹2234.67, matching bank credit UTR UTR9026STD0010 exactly.","['ERP amount', 'Gateway settlement', 'Bank credit', 'UTR', 'Fee calculation']",Zero Variance (Balanced),,Resolved,2026-09-03T18:53:57.821544+00:00,"{'mdr_rate_pct': 2.0, 'gst_rate_pct': 18.0, 'order_time': '2026-08-21 06:24:00', 'settlement_date': '2026-08-21 19:24:00', 'bank_txn_date': '2026-08-22'}"
